=== CONSUMPTION & BILLING REPORT ===

Device                    | Power (kWh)  | Water (L)  | Gas (m3)   | Cost (CZK)
---------------------------------------------------------------------------
Garage Light              | 0,0158       | 0,00       | 0,0000     | 0,10      
Irrigation                | 0,0363       | 217,50     | 0,0000     | 21,99     
Son TV                    | 1,2600       | 0,00       | 0,0000     | 8,19      
Son Light                 | 0,0158       | 0,00       | 0,0000     | 0,10      
Daughter Mirror           | 0,2375       | 0,00       | 0,0000     | 1,54      
Daughter Light            | 0,0067       | 0,00       | 0,0000     | 0,04      
Living Group Light        | 0,0800       | 0,00       | 0,0000     | 0,52      
Main Door Lock            | 0,0053       | 0,00       | 0,0000     | 0,03      
Thermostat                | 0,0278       | 0,00       | 0,0000     | 0,18      
Humidifier/AC             | 6,3000       | 2,10       | 0,0000     | 41,16     
Multiroom Audio           | 0,2625       | 0,00       | 0,0000     | 1,71      
Blinds Living             | 0,0108       | 0,00       | 0,0000     | 0,07      
Kitchen Light             | 0,0360       | 0,00       | 0,0000     | 0,23      
Pet Feeder                | 0,0725       | 0,00       | 0,0000     | 0,47      
Kitchen Fridge            | 2,2500       | 0,00       | 0,0000     | 14,63     
Bathroom Light            | 0,0630       | 0,00       | 0,0000     | 0,41      
Washing Machine           | 5,7500       | 172,50     | 0,0000     | 54,63     
Smart Mirror              | 0,3500       | 0,00       | 0,0000     | 2,28      
---------------------------------------------------------------------------
TOTALS                    | 16,7798      | 392,10     | 0,0000     | 148,28    
